Dataset,Query,First Execution Time (ms)
25%,Query 1,2246.05
25%,Query 2,49.22
25%,Query 3,92.49
25%,Query 4,86.70
50%,Query 1,2353.03
50%,Query 2,81.14
50%,Query 3,224.70
50%,Query 4,115.86
75%,Query 1,2629.08
75%,Query 2,140.52
75%,Query 3,333.62
75%,Query 4,173.02
100%,Query 1,3147.26
100%,Query 2,172.98
100%,Query 3,471.50
100%,Query 4,251.48
