Dataset,Query,Average of 30 Executions (ms),Average Time (ms),"Confidence Interval (Min, Max)"
25%,Query 1,5.88,5.882037,"(5.10, 6.67)"
25%,Query 2,5.76,5.762780,"(4.43, 7.10)"
25%,Query 3,4.35,4.350437,"(3.25, 5.45)"
25%,Query 4,4.19,4.190733,"(3.08, 5.30)"
50%,Query 1,5.41,5.410883,"(4.80, 6.03)"
50%,Query 2,5.02,5.020990,"(3.79, 6.25)"
50%,Query 3,3.51,3.508307,"(2.59, 4.43)"
50%,Query 4,5.17,5.169460,"(3.82, 6.52)"
75%,Query 1,6.39,6.393113,"(5.15, 7.63)"
75%,Query 2,4.65,4.648823,"(3.63, 5.67)"
75%,Query 3,5.16,5.156450,"(3.77, 6.55)"
75%,Query 4,5.12,5.118683,"(3.83, 6.41)"
100%,Query 1,7.86,7.859903,"(6.88, 8.84)"
100%,Query 2,5.31,5.306050,"(4.24, 6.37)"
100%,Query 3,3.60,3.603533,"(2.69, 4.52)"
100%,Query 4,4.25,4.246710,"(3.25, 5.24)"
