Dataset,Query,First Execution Time (ms)
100%,Query 1,2793.57
100%,Query 2,164.43
100%,Query 3,173.64
100%,Query 4,110.06
75%,Query 1,2340.60
75%,Query 2,100.33
75%,Query 3,120.74
75%,Query 4,51.49
50%,Query 1,2165.75
50%,Query 2,76.45
50%,Query 3,88.11
50%,Query 4,42.71
25%,Query 1,2111.35
25%,Query 2,68.51
25%,Query 3,85.96
25%,Query 4,39.77
