Dataset,Query,First Execution Time (ms)
100%,Query 1,44.99
100%,Query 2,30.70
100%,Query 3,24.16
100%,Query 4,117.62
75%,Query 1,22.29
75%,Query 2,16.37
75%,Query 3,17.87
75%,Query 4,73.46
50%,Query 1,8.40
50%,Query 2,5.71
50%,Query 3,4.83
50%,Query 4,39.25
25%,Query 1,2.36
25%,Query 2,1.71
25%,Query 3,2.38
25%,Query 4,10.57
