Dataset,Query,First Execution Time (ms)
100%,Query 1,31.67
100%,Query 2,28.57
100%,Query 3,102.72
100%,Query 4,136.46
75%,Query 1,20.20
75%,Query 2,11.01
75%,Query 3,16.14
75%,Query 4,105.99
50%,Query 1,7.49
50%,Query 2,3.32
50%,Query 3,5.05
50%,Query 4,51.30
25%,Query 1,2.36
25%,Query 2,9.38
25%,Query 3,1.55
25%,Query 4,15.08
