Dataset,Query,Average of 100 Executions (ms),Average Time (ms),"Confidence Interval (Min, Max)"
100%,Query 1,51.88,51.875347,"(48.95, 54.80)"
100%,Query 2,44.85,44.851207,"(44.07, 45.63)"
100%,Query 3,45.05,45.046516,"(44.11, 45.98)"
100%,Query 4,63.16,63.160480,"(59.88, 66.45)"
75%,Query 1,22.73,22.731608,"(21.22, 24.24)"
75%,Query 2,21.90,21.898803,"(20.21, 23.58)"
75%,Query 3,20.69,20.687396,"(19.18, 22.20)"
75%,Query 4,46.39,46.390683,"(43.93, 48.85)"
50%,Query 1,21.72,21.723805,"(20.18, 23.26)"
50%,Query 2,24.30,24.302534,"(22.81, 25.80)"
50%,Query 3,24.98,24.979459,"(23.55, 26.41)"
50%,Query 4,32.67,32.668457,"(31.03, 34.31)"
25%,Query 1,17.40,17.402504,"(16.14, 18.67)"
25%,Query 2,17.90,17.897854,"(16.60, 19.20)"
25%,Query 3,21.40,21.402582,"(19.84, 22.96)"
25%,Query 4,26.72,26.720521,"(25.34, 28.10)"
