Dataset,Query,First Execution Time (ms)
100%,Query 1,1294.33
100%,Query 2,1866.83
100%,Query 3,81.94
100%,Query 4,308.52
75%,Query 1,52.63
75%,Query 2,134.54
75%,Query 3,90.70
75%,Query 4,59.06
50%,Query 1,48.89
50%,Query 2,17.11
50%,Query 3,14.73
50%,Query 4,38.92
25%,Query 1,19.21
25%,Query 2,15.42
25%,Query 3,12.60
25%,Query 4,21.46
