Dataset,Query,First Execution Time (ms)
25%,Query 1,14.50
25%,Query 2,12.29
25%,Query 3,15.51
25%,Query 4,13.36
50%,Query 1,15.04
50%,Query 2,13.80
50%,Query 3,12.78
50%,Query 4,14.52
75%,Query 1,18.68
75%,Query 2,9.86
75%,Query 3,13.77
75%,Query 4,15.16
100%,Query 1,29.54
100%,Query 2,21.97
100%,Query 3,12.58
100%,Query 4,12.12
