Dataset,Query,Milliseconds
100%,Query 1,70.8
100%,Query 2,24.77
100%,Query 3,18.09
100%,Query 4,82.83
75%,Query 1,31.92
75%,Query 2,16.55
75%,Query 3,12.09
75%,Query 4,28.85
50%,Query 1,21.64
50%,Query 2,6.0
50%,Query 3,10.05
50%,Query 4,28.65
25%,Query 1,11.07
25%,Query 2,5.43
25%,Query 3,11.45
25%,Query 4,16.53
